Location,% of global total,Fossil emissions 2023,Fossil emissions 2000,% change from 2000
China,34.0%,"13,259.64","3,666.95",+262%
United States,12.0%,"4,682.04","5,928.97",−21%
India,7.6%,"2,955.18",995.65,+197%
European Union,6.4%,"2,512.07","3,563.26",−30%
Russia,5.3%,"2,069.50","1,681.14",+23%
Japan,2.4%,944.76,"1,248.81",−24%
Iran,2.0%,778.80,353.93,+120%
International Shipping,1.8%,706.32,503.29,+40%
Indonesia,1.7%,674.54,299.09,+126%
Saudi Arabia,1.6%,622.91,265.24,+135%
Germany,1.5%,582.95,871.74,−33%
Canada,1.5%,575.01,543.04,+6%
South Korea,1.5%,573.54,474.16,+21%
International Aviation,1.3%,491.63,355.32,+38%
Mexico,1.2%,487.09,396.71,+23%
Brazil,1.2%,479.50,349.40,+37%
Turkey,1.1%,438.32,227.05,+93%
South Africa,1.0%,397.37,347.30,+14%
Australia,1.0%,373.62,353.87,+6%
Vietnam,1.0%,372.95,56.52,+560%
"Italy, San Marino and Vatican City",0.8%,305.49,454.72,−33%
United Kingdom,0.8%,302.10,551.68,−45%
Poland,0.7%,286.91,313.02,−8%
Malaysia,0.7%,283.32,130.78,+117%
France and Monaco,0.7%,282.43,401.21,−30%
Taiwan,0.7%,279.85,238.02,+18%
Thailand,0.7%,274.16,174.82,+57%
Egypt,0.6%,249.33,127.91,+95%
Kazakhstan,0.6%,239.87,132.22,+81%
Spain and Andorra,0.6%,217.26,313.24,−31%
United Arab Emirates,0.5%,205.99,88.46,+133%
Pakistan,0.5%,200.51,111.87,+79%
Iraq,0.5%,192.91,88.81,+117%
Argentina,0.5%,183.78,136.76,+34%
Algeria,0.5%,180.36,87.94,+105%
Philippines,0.4%,161.29,74.25,+117%
Uzbekistan,0.4%,137.90,130.67,+6%
Ukraine,0.3%,136.20,360.02,−62%
Nigeria,0.3%,127.94,100.30,+28%
Qatar,0.3%,127.91,31.75,+303%
Bangladesh,0.3%,124.79,26.97,+363%
Netherlands,0.3%,122.87,176.91,−31%
Kuwait,0.3%,111.63,54.48,+105%
Colombia,0.3%,100.86,62.57,+61%
Oman,0.2%,93.09,26.32,+254%
Czech Republic,0.2%,90.51,132.31,−32%
Venezuela,0.2%,84.60,137.75,−39%
Belgium,0.2%,84.31,124.97,−33%
Chile,0.2%,84.00,53.85,+56%
Romania,0.2%,70.77,97.42,−27%
Morocco,0.2%,69.86,33.56,+108%
Turkmenistan,0.2%,65.99,39.34,+68%
North Korea,0.2%,64.27,73.81,−13%
Libya,0.2%,61.26,49.28,+24%
Israel and Palestine,0.2%,61.25,59.30,+3%
Austria,0.2%,58.82,66.69,−12%
Peru,0.1%,58.40,28.98,+102%
Singapore,0.1%,57.07,45.52,+25%
Serbia and Montenegro,0.1%,56.12,50.64,+11%
Belarus,0.1%,54.18,56.26,−4%
Greece,0.1%,51.67,96.05,−46%
Ecuador,0.1%,45.33,22.04,+106%
Norway,0.1%,44.07,41.77,+5%
Hungary,0.1%,43.83,59.48,−26%
Azerbaijan,0.1%,42.77,28.79,+49%
Bulgaria,0.1%,39.79,48.17,−17%
Bahrain,0.1%,37.43,17.77,+111%
Portugal,0.09%,36.17,64.41,−44%
New Zealand,0.09%,35.80,32.89,+9%
Sweden,0.09%,35.39,57.98,−39%
Slovakia,0.09%,34.86,41.68,−16%
Hong Kong,0.09%,34.67,41.90,−17%
Switzerland and Liechtenstein,0.09%,34.22,44.80,−24%
Myanmar,0.09%,33.37,10.04,+232%
Ireland,0.08%,32.48,43.82,−26%
Finland,0.08%,32.27,57.53,−44%
Tunisia,0.08%,31.50,21.13,+49%
Dominican Republic,0.08%,31.35,19.01,+65%
Angola,0.07%,28.23,16.51,+71%
Mongolia,0.07%,28.12,9.04,+211%
