Location,% of global total,Fossil emissions 2023,Fossil emissions 2000,% change from 2000
China,34.0,13259.64,3666.95,262.0
United States,12.0,4682.04,5928.97,-21.0
India,7.6,2955.18,995.65,197.0
European Union,6.4,2512.07,3563.26,-30.0
Russia,5.3,2069.5,1681.14,23.0
Japan,2.4,944.76,1248.81,-24.0
Iran,2.0,778.8,353.93,120.0
International Shipping,1.8,706.32,503.29,40.0
Indonesia,1.7,674.54,299.09,126.0
Saudi Arabia,1.6,622.91,265.24,135.0
Germany,1.5,582.95,871.74,-33.0
Canada,1.5,575.01,543.04,6.0
South Korea,1.5,573.54,474.16,21.0
International Aviation,1.3,491.63,355.32,38.0
Mexico,1.2,487.09,396.71,23.0
Brazil,1.2,479.5,349.4,37.0
Turkey,1.1,438.32,227.05,93.0
South Africa,1.0,397.37,347.3,14.0
Australia,1.0,373.62,353.87,6.0
Vietnam,1.0,372.95,56.52,560.0
"Italy, San Marino and Vatican City",0.8,305.49,454.72,-33.0
United Kingdom,0.8,302.1,551.68,-45.0
Poland,0.7,286.91,313.02,-8.0
Malaysia,0.7,283.32,130.78,117.0
France and Monaco,0.7,282.43,401.21,-30.0
Taiwan,0.7,279.85,238.02,18.0
Thailand,0.7,274.16,174.82,57.0
Egypt,0.6,249.33,127.91,95.0
Kazakhstan,0.6,239.87,132.22,81.0
Spain and Andorra,0.6,217.26,313.24,-31.0
United Arab Emirates,0.5,205.99,88.46,133.0
Pakistan,0.5,200.51,111.87,79.0
Iraq,0.5,192.91,88.81,117.0
Argentina,0.5,183.78,136.76,34.0
Algeria,0.5,180.36,87.94,105.0
Philippines,0.4,161.29,74.25,117.0
Uzbekistan,0.4,137.9,130.67,6.0
Ukraine,0.3,136.2,360.02,-62.0
Nigeria,0.3,127.94,100.3,28.0
Qatar,0.3,127.91,31.75,303.0
Bangladesh,0.3,124.79,26.97,363.0
Netherlands,0.3,122.87,176.91,-31.0
Kuwait,0.3,111.63,54.48,105.0
Colombia,0.3,100.86,62.57,61.0
Oman,0.2,93.09,26.32,254.0
Czech Republic,0.2,90.51,132.31,-32.0
